pokedex_number,name,generation,status,type_number,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
129,Magikarp,1,Normal,1,Water,,200,20,10,55,15,20,80,255,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
130,Gyarados,1,Normal,2,Water,Flying,540,95,125,79,60,100,81,45,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
130,Mega Gyarados,6,Normal,2,Water,Dark,640,95,155,109,70,130,81,45,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2
131,Lapras,1,Normal,2,Water,Ice,535,130,85,80,85,95,60,45,1,1,0,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
132,Ditto,1,Normal,1,Normal,,288,48,48,48,48,48,48,35,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
133,Eevee,1,Normal,1,Normal,,325,55,55,50,45,65,55,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
133,Partner Eevee,1,Normal,1,Normal,,435,65,75,70,65,85,75,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
134,Vaporeon,1,Normal,1,Water,,525,130,65,60,110,95,65,45,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
135,Jolteon,1,Normal,1,Electric,,525,65,65,60,110,95,130,45,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
136,Flareon,1,Normal,1,Fire,,525,65,130,60,95,110,65,45,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
137,Porygon,1,Normal,1,Normal,,395,65,60,70,85,75,40,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
138,Omanyte,1,Normal,2,Rock,Water,355,35,40,100,90,55,35,45,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
139,Omastar,1,Normal,2,Rock,Water,495,70,60,125,115,70,55,45,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
140,Kabuto,1,Normal,2,Rock,Water,355,30,80,90,55,45,55,45,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
141,Kabutops,1,Normal,2,Rock,Water,495,60,115,105,65,70,80,45,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
142,Aerodactyl,1,Normal,2,Rock,Flying,515,80,105,65,60,75,130,45,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
142,Mega Aerodactyl,6,Normal,2,Rock,Flying,615,80,135,85,70,95,150,45,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
143,Snorlax,1,Normal,1,Normal,,540,160,110,65,65,110,30,25,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
144,Articuno,1,Sub Legendary,2,Ice,Flying,580,90,85,100,95,125,85,3,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
145,Zapdos,1,Sub Legendary,2,Electric,Flying,580,90,90,85,125,90,100,3,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
146,Moltres,1,Sub Legendary,2,Fire,Flying,580,90,100,90,125,85,90,3,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
147,Dratini,1,Normal,1,Dragon,,300,41,64,45,50,50,50,45,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
148,Dragonair,1,Normal,1,Dragon,,420,61,84,65,70,70,70,45,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
149,Dragonite,1,Normal,2,Dragon,Flying,600,91,134,95,100,100,80,45,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2
150,Mewtwo,1,Legendary,1,Psychic,,680,106,110,90,154,90,130,3,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
150,Mega Mewtwo X,6,Legendary,2,Psychic,Fighting,780,106,190,100,154,100,130,3,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
150,Mega Mewtwo Y,6,Legendary,1,Psychic,,780,106,150,70,194,120,140,3,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
151,Mew,1,Mythical,1,Psychic,,600,100,100,100,100,100,100,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
152,Chikorita,2,Normal,1,Grass,,318,45,49,65,49,65,45,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
153,Bayleef,2,Normal,1,Grass,,405,60,62,80,63,80,60,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
154,Meganium,2,Normal,1,Grass,,525,80,82,100,83,100,80,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
155,Cyndaquil,2,Normal,1,Fire,,309,39,52,43,60,50,65,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
156,Quilava,2,Normal,1,Fire,,405,58,64,58,80,65,80,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
157,Typhlosion,2,Normal,1,Fire,,534,78,84,78,109,85,100,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
158,Totodile,2,Normal,1,Water,,314,50,65,64,44,48,43,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
159,Croconaw,2,Normal,1,Water,,405,65,80,80,59,63,58,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
160,Feraligatr,2,Normal,1,Water,,530,85,105,100,79,83,78,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
161,Sentret,2,Normal,1,Normal,,215,35,46,34,35,45,20,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
162,Furret,2,Normal,1,Normal,,415,85,76,64,45,55,90,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
163,Hoothoot,2,Normal,2,Normal,Flying,262,60,30,30,36,56,50,255,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
164,Noctowl,2,Normal,2,Normal,Flying,452,100,50,50,86,96,70,90,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
165,Ledyba,2,Normal,2,Bug,Flying,265,40,20,30,40,80,55,255,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
166,Ledian,2,Normal,2,Bug,Flying,390,55,35,50,55,110,85,90,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
167,Spinarak,2,Normal,2,Bug,Poison,250,40,60,40,40,40,30,255,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
168,Ariados,2,Normal,2,Bug,Poison,400,70,90,70,60,70,40,90,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
169,Crobat,2,Normal,2,Poison,Flying,535,85,90,80,70,80,130,90,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
170,Chinchou,2,Normal,2,Water,Electric,330,75,38,38,56,56,67,190,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
171,Lanturn,2,Normal,2,Water,Electric,460,125,58,58,76,76,67,75,1,0.5,0.5,0,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1
172,Pichu,2,Normal,1,Electric,,205,20,40,15,35,35,60,190,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
173,Cleffa,2,Normal,1,Fairy,,218,50,25,28,45,55,15,150,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
174,Igglybuff,2,Normal,2,Normal,Fairy,210,90,30,15,40,20,15,170,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
175,Togepi,2,Normal,1,Fairy,,245,35,20,65,40,65,20,190,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
176,Togetic,2,Normal,2,Fairy,Flying,405,55,40,85,80,105,40,75,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
177,Natu,2,Normal,2,Psychic,Flying,320,40,50,45,70,45,70,190,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
178,Xatu,2,Normal,2,Psychic,Flying,470,65,75,70,95,70,95,75,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
179,Mareep,2,Normal,1,Electric,,280,55,40,40,65,45,35,235,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
180,Flaaffy,2,Normal,1,Electric,,365,70,55,55,80,60,45,120,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
181,Ampharos,2,Normal,1,Electric,,510,90,75,85,115,90,55,45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
181,Mega Ampharos,6,Normal,2,Electric,Dragon,610,90,95,105,165,110,45,45,1,0.5,0.5,0.25,0.5,2,1,1,2,0.5,1,1,1,1,2,1,0.5,2
182,Bellossom,2,Normal,1,Grass,,490,75,80,95,90,100,50,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
183,Marill,2,Normal,2,Water,Fairy,250,70,20,50,20,50,40,190,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
184,Azumarill,2,Normal,2,Water,Fairy,420,100,50,80,60,80,50,75,1,0.25,0.5,2,2,0.25,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1
185,Sudowoodo,2,Normal,1,Rock,,410,70,100,115,30,65,30,65,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
186,Politoed,2,Normal,1,Water,,500,90,75,75,90,100,70,45,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
187,Hoppip,2,Normal,2,Grass,Flying,250,35,35,40,35,55,50,255,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
188,Skiploom,2,Normal,2,Grass,Flying,340,55,45,50,45,65,80,120,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
189,Jumpluff,2,Normal,2,Grass,Flying,460,75,55,70,55,95,110,45,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
190,Aipom,2,Normal,1,Normal,,360,55,70,55,40,55,85,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
191,Sunkern,2,Normal,1,Grass,,180,30,30,30,30,30,30,235,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
192,Sunflora,2,Normal,1,Grass,,425,75,75,55,105,85,30,120,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
193,Yanma,2,Normal,2,Bug,Flying,390,65,65,45,75,45,95,75,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
194,Wooper,2,Normal,2,Water,Ground,210,55,45,45,25,25,15,255,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
195,Quagsire,2,Normal,2,Water,Ground,430,95,85,85,65,65,35,90,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
196,Espeon,2,Normal,1,Psychic,,525,65,65,60,130,95,110,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
197,Umbreon,2,Normal,1,Dark,,525,95,65,110,60,130,65,45,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
198,Murkrow,2,Normal,2,Dark,Flying,405,60,85,42,85,42,91,30,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2
199,Slowking,2,Normal,2,Water,Psychic,490,95,75,80,100,110,30,70,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
200,Misdreavus,2,Normal,1,Ghost,,435,60,60,60,85,85,85,45,0,1,1,1,1,1,0,0.5,0,1,1,0.5,1,2,1,2,1,1
201,Unown,2,Normal,1,Psychic,,336,48,72,48,72,48,48,225,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
202,Wobbuffet,2,Normal,1,Psychic,,405,190,33,58,33,58,33,45,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
203,Girafarig,2,Normal,2,Normal,Psychic,455,70,80,65,90,65,85,60,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1
204,Pineco,2,Normal,1,Bug,,290,50,65,90,35,35,15,190,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
205,Forretress,2,Normal,2,Bug,Steel,465,75,90,140,60,60,40,75,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
206,Dunsparce,2,Normal,1,Normal,,415,100,70,70,65,65,45,190,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
207,Gligar,2,Normal,2,Ground,Flying,430,65,75,105,35,65,85,60,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
208,Steelix,2,Normal,2,Steel,Ground,510,75,85,200,55,65,30,25,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
208,Mega Steelix,6,Normal,2,Steel,Ground,610,75,125,230,55,95,30,25,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
209,Snubbull,2,Normal,1,Fairy,,300,60,80,50,40,40,30,190,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
210,Granbull,2,Normal,1,Fairy,,450,90,120,75,60,60,45,75,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
211,Qwilfish,2,Normal,2,Water,Poison,440,65,95,85,55,55,85,45,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
212,Scizor,2,Normal,2,Bug,Steel,500,70,130,100,55,80,65,25,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
212,Mega Scizor,6,Normal,2,Bug,Steel,600,70,150,140,65,100,75,25,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
213,Shuckle,2,Normal,2,Bug,Rock,505,20,10,230,10,230,5,190,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1
214,Heracross,2,Normal,2,Bug,Fighting,500,80,125,75,40,95,85,45,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
214,Mega Heracross,6,Normal,2,Bug,Fighting,600,80,185,115,40,105,75,45,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2
215,Sneasel,2,Normal,2,Dark,Ice,430,55,95,55,35,75,115,60,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
216,Teddiursa,2,Normal,1,Normal,,330,60,80,50,50,50,40,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
217,Ursaring,2,Normal,1,Normal,,500,90,130,75,75,75,55,60,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
218,Slugma,2,Normal,1,Fire,,250,40,40,40,70,40,20,190,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
219,Magcargo,2,Normal,2,Fire,Rock,430,60,50,120,90,80,30,75,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5
220,Swinub,2,Normal,2,Ice,Ground,250,50,50,40,30,30,50,225,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
221,Piloswine,2,Normal,2,Ice,Ground,450,100,100,80,60,60,50,75,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
222,Corsola,2,Normal,2,Water,Rock,410,65,55,95,65,95,35,60,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
222,Galarian Corsola,8,Normal,1,Ghost,,410,60,55,100,65,100,30,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
223,Remoraid,2,Normal,1,Water,,300,35,65,35,65,35,65,190,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
224,Octillery,2,Normal,1,Water,,480,75,105,75,105,75,45,75,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
225,Delibird,2,Normal,2,Ice,Flying,330,45,55,45,65,45,75,45,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
226,Mantine,2,Normal,2,Water,Flying,485,85,40,70,80,140,70,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
227,Skarmory,2,Normal,2,Steel,Flying,465,65,80,140,40,70,70,25,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
228,Houndour,2,Normal,2,Dark,Fire,330,45,60,30,80,50,65,120,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
229,Houndoom,2,Normal,2,Dark,Fire,500,75,90,50,110,80,95,45,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
229,Mega Houndoom,6,Normal,2,Dark,Fire,600,75,90,90,140,90,115,45,1,0,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
230,Kingdra,2,Normal,2,Water,Dragon,540,75,95,95,95,95,85,45,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
231,Phanpy,2,Normal,1,Ground,,330,90,60,60,40,40,40,120,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
232,Donphan,2,Normal,1,Ground,,500,90,120,120,60,60,50,60,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
233,Porygon2,2,Normal,1,Normal,,515,85,80,90,105,95,60,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
234,Stantler,2,Normal,1,Normal,,465,73,95,62,85,65,85,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
235,Smeargle,2,Normal,1,Normal,,250,55,20,35,20,45,75,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
236,Tyrogue,2,Normal,1,Fighting,,210,35,35,35,35,35,35,75,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
237,Hitmontop,2,Normal,1,Fighting,,455,50,95,95,35,110,70,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
238,Smoochum,2,Normal,2,Ice,Psychic,305,45,30,15,85,65,65,45,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
239,Elekid,2,Normal,1,Electric,,360,45,63,37,65,55,95,45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
240,Magby,2,Normal,1,Fire,,365,45,75,37,70,55,83,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
241,Miltank,2,Normal,1,Normal,,490,95,80,105,40,70,100,45,1,0.5,1,1,1,0.5,2,1,1,1,1,1,1,0,1,1,1,1
242,Blissey,2,Normal,1,Normal,,540,255,10,10,75,135,55,30,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
243,Raikou,2,Sub Legendary,1,Electric,,580,90,85,75,115,100,115,3,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
244,Entei,2,Sub Legendary,1,Fire,,580,115,115,85,90,75,100,3,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
245,Suicune,2,Sub Legendary,1,Water,,580,100,75,115,90,115,85,3,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
246,Larvitar,2,Normal,2,Rock,Ground,300,50,64,50,45,50,41,45,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
247,Pupitar,2,Normal,2,Rock,Ground,410,70,84,70,65,70,51,45,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
248,Tyranitar,2,Normal,2,Rock,Dark,600,100,134,110,95,100,61,45,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
248,Mega Tyranitar,6,Normal,2,Rock,Dark,700,100,164,150,95,120,71,45,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
249,Lugia,2,Legendary,2,Psychic,Flying,680,106,90,130,90,154,110,3,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
250,Ho-oh,2,Legendary,2,Fire,Flying,680,106,130,90,110,154,90,3,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
251,Celebi,2,Mythical,2,Psychic,Grass,600,100,100,100,100,100,100,45,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
252,Treecko,3,Normal,1,Grass,,310,40,45,35,65,55,70,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
253,Grovyle,3,Normal,1,Grass,,405,50,65,45,85,65,95,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
254,Sceptile,3,Normal,1,Grass,,530,70,85,65,105,85,120,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
254,Mega Sceptile,6,Normal,2,Grass,Dragon,630,70,110,75,145,85,145,45,1,1,0.25,0,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
255,Torchic,3,Normal,1,Fire,,310,45,60,40,70,50,45,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
256,Combusken,3,Normal,2,Fire,Fighting,405,60,85,60,85,60,55,45,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
257,Blaziken,3,Normal,2,Fire,Fighting,530,80,120,70,110,70,80,45,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
257,Mega Blaziken,6,Normal,2,Fire,Fighting,630,80,160,80,130,80,100,45,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
258,Mudkip,3,Normal,1,Water,,310,50,70,50,50,50,40,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
259,Marshtomp,3,Normal,2,Water,Ground,405,70,85,70,60,70,50,45,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
260,Swampert,3,Normal,2,Water,Ground,535,100,110,90,85,90,60,45,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
260,Mega Swampert,6,Normal,2,Water,Ground,635,100,150,110,95,110,70,45,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
261,Poochyena,3,Normal,1,Dark,,220,35,55,35,30,30,35,255,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
262,Mightyena,3,Normal,1,Dark,,420,70,90,70,60,60,70,127,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
263,Zigzagoon,3,Normal,1,Normal,,240,38,30,41,30,41,60,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
263,Galarian Zigzagoon,8,Normal,2,Dark,Normal,240,38,30,41,30,41,60,,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
264,Linoone,3,Normal,1,Normal,,420,78,70,61,50,61,100,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
264,Galarian Linoone,8,Normal,2,Dark,Normal,420,78,70,61,50,61,100,,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
265,Wurmple,3,Normal,1,Bug,,195,45,45,35,20,30,20,255,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
266,Silcoon,3,Normal,1,Bug,,205,50,35,55,25,25,15,120,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
267,Beautifly,3,Normal,2,Bug,Flying,395,60,70,50,100,50,65,45,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
268,Cascoon,3,Normal,1,Bug,,205,50,35,55,25,25,15,120,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
269,Dustox,3,Normal,2,Bug,Poison,385,60,50,70,50,90,65,45,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
270,Lotad,3,Normal,2,Water,Grass,220,40,30,30,40,50,30,255,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
271,Lombre,3,Normal,2,Water,Grass,340,60,50,50,60,70,50,120,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
272,Ludicolo,3,Normal,2,Water,Grass,480,80,70,70,90,100,70,45,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
273,Seedot,3,Normal,1,Grass,,220,40,40,50,30,30,30,255,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
274,Nuzleaf,3,Normal,2,Grass,Dark,340,70,70,40,60,40,60,120,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
275,Shiftry,3,Normal,2,Grass,Dark,480,90,100,60,90,60,80,45,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
276,Taillow,3,Normal,2,Normal,Flying,270,40,55,30,30,30,85,200,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
277,Swellow,3,Normal,2,Normal,Flying,455,60,85,60,75,50,125,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
278,Wingull,3,Normal,2,Water,Flying,270,40,30,30,55,30,85,190,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
279,Pelipper,3,Normal,2,Water,Flying,440,60,50,100,95,70,65,45,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
